id, cols, abb_col_names
0, id, id
1, age,age
2, bp,	blood pressure
3, sg,	specific gravity
4, al,	albumin
5, su,	sugar
6, rbc,	red blood cells
7, pc,	pus cell
8, pcc,	pus cell clumps
9, ba,	bacteria
10, bgr,	blood glucose random
11, bu,	blood urea
12, sc,	serum creatinine
13, sod,sodium
14, pot, potassium
15, hemo,haemoglobin
16, pcv,	packed cell volume
17, wc,	white blood cell count
18, rc,	red blood cell count
19, htn,	ypertension
20, dm,	diabetes mellitus
21, cad,	coronary artery disease
22, appet,	appetite
23, pe,	pedal edema
24, ane,	anemia
25, classification,, class
